epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,13427.4,0.23265,0.16062,0.8022,0.99905,1,0.99491,0.99271,0.13142,0.08937,0.75651,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,13823.6,0.23219,0.16078,0.80411,0.99906,1,0.99491,0.99269,0.13131,0.089,0.75645,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,14219.3,0.23002,0.1579,0.80328,0.99907,1,0.99491,0.99265,0.13113,0.08859,0.75648,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,14616.2,0.22986,0.15775,0.80207,0.99908,1,0.99491,0.99269,0.131,0.08855,0.75651,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,15013,0.22748,0.1556,0.80393,0.99908,1,0.99491,0.99267,0.13092,0.08828,0.75654,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,15409.4,0.22553,0.154,0.80078,0.99909,1,0.9949,0.99266,0.13061,0.08806,0.75655,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,15804.5,0.22364,0.15254,0.80165,0.9991,1,0.9949,0.99264,0.13061,0.08772,0.75656,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
40,16202.5,0.2223,0.1519,0.80254,0.9991,1,0.9949,0.99267,0.13023,0.08763,0.75662,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,16597.9,0.22022,0.14982,0.80178,0.99911,1,0.9949,0.99268,0.13016,0.08764,0.75671,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
42,16994.8,0.21633,0.14735,0.80012,0.99911,1,0.9949,0.99267,0.13022,0.08724,0.7567,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
43,17389.8,0.21354,0.14622,0.79808,0.99911,1,0.9949,0.99266,0.13027,0.08691,0.7567,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
44,17787.3,0.21252,0.14494,0.79726,0.99911,1,0.9949,0.99266,0.13021,0.08635,0.75685,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
45,18183.9,0.20927,0.14281,0.79773,0.99911,1,0.99491,0.99267,0.13015,0.08633,0.75686,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
46,18581.1,0.20779,0.14084,0.79785,0.99911,1,0.99491,0.99267,0.1301,0.08624,0.75681,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
47,18977.5,0.20496,0.13846,0.797,0.99911,1,0.99491,0.99266,0.13002,0.0862,0.75677,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,19374.4,0.20525,0.13858,0.79747,0.99911,1,0.99491,0.99267,0.12982,0.0859,0.75657,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
